id,conversation_id,article_id,"person_id_1",this_persons_perceived_empathy_of_other_person
1,1,35,"p019",6
2,2,35,"p035",7
3,3,35,"p024",5
4,4,35,"p041",5
5,5,35,"p022",7
6,6,213,"p020",6
7,7,213,"p019",5
8,8,213,"p035",7
9,9,213,"p048",7
10,10,213,"p063",7
11,11,78,"p022",7
12,12,78,"p019",6
13,13,78,"p029",6
14,14,78,"p054",6
15,15,78,"p022",7
16,16,336,"p043",7
17,17,336,"p037",7
18,18,336,"p050",7
19,19,336,"p016",7
20,20,336,"p029",7
21,21,281,"p029",2
22,22,281,"p046",7
23,23,281,"p007",6
24,24,281,"p025",7
25,25,281,"p022",7
26,26,171,"p007",7
27,27,171,"p055",7
28,28,171,"p021",6
29,29,171,"p035",7
30,30,171,"p029",4
31,31,386,"p056",3
32,32,386,"p055",6
33,33,386,"p039",7
34,34,386,"p019",7
35,35,386,"p035",7
36,36,58,"p056",7
37,37,58,"p062",2
38,38,58,"p030",5
39,39,58,"p016",5
40,40,58,"p020",7
41,41,289,"p055",7
42,42,289,"p072",6
43,43,289,"p035",4
44,44,289,"p007",6
45,45,289,"p019",7
46,46,210,"p056",7
47,47,210,"p073",7
48,48,210,"p028",5
49,49,210,"p039",7
50,50,210,"p022",7
51,51,49,"p005",5
52,52,49,"p043",7
53,53,49,"p062",3
54,54,49,"p030",5
55,55,49,"p022",7
56,56,72,"p029",6
57,57,72,"p024",7
58,58,72,"p055",7
59,59,72,"p068",5
60,60,72,"p029",7
61,61,150,"p029",7
62,62,150,"p032",4
63,63,150,"p070",6
64,64,150,"p030",6
65,65,150,"p029",7
66,66,138,"p032",6
67,67,138,"p043",7
68,68,138,"p030",4
69,69,138,"p055",7
70,70,138,"p024",7
71,71,3,"p005",5
72,72,3,"p038",7
73,73,3,"p024",5
74,74,3,"p037",7
75,75,3,"p029",7
76,76,169,"p002",2
77,77,169,"p005",7
78,78,169,"p009",7
79,79,169,"p035",7
80,80,169,"p068",6
81,81,353,"p022",7
82,82,353,"p043",7
83,83,353,"p030",3
84,84,353,"p007",7
85,85,353,"p022",7
86,86,304,"p030",6
87,87,304,"p048",6
88,88,304,"p024",6
89,89,304,"p041",7
90,90,304,"p062",2
91,91,233,"p030",2
92,92,233,"p022",7
93,93,233,"p024",7
94,94,233,"p041",4
95,95,233,"p002",7
96,96,57,"p007",7
97,97,57,"p050",7
98,98,57,"p005",5
99,99,57,"p030",2
100,100,57,"p020",7
101,101,67,"p001",6
102,102,67,"p038",1
103,103,67,"p035",5
104,104,67,"p002",7
105,105,67,"p030",4
106,106,134,"p022",7
107,107,134,"p030",6
108,108,134,"p024",7
109,109,134,"p050",7
110,110,134,"p068",6
111,111,45,"p062",5
112,112,45,"p050",7
113,113,45,"p005",1
114,114,45,"p009",4
115,115,45,"p007",6
116,116,9,"p005",4
117,117,9,"p024",7
118,118,9,"p030",7
119,119,9,"p038",7
120,120,9,"p002",7
121,121,6,"p022",7
122,122,6,"p024",7
123,123,6,"p005",5
124,124,6,"p062",6
125,125,6,"p050",7
126,126,314,"p022",1
127,127,314,"p007",7
128,128,314,"p005",1
129,129,314,"p024",5
130,130,314,"p043",7
131,131,73,"p005",4
132,132,73,"p035",5
133,133,73,"p007",7
134,134,73,"p024",7
135,135,73,"p048",7
136,136,99,"p022",7
137,137,99,"p062",2
138,138,99,"p005",5
139,139,99,"p035",7
140,140,99,"p002",7
141,141,94,"p050",7
142,142,94,"p023",7
143,143,94,"p022",7
144,144,94,"p005",6
145,145,94,"p068",6
146,146,147,"p029",6
147,147,147,"p030",5
148,148,147,"p005",4
149,149,147,"p024",7
150,150,147,"p022",7
151,151,125,"p007",7
152,152,125,"p022",5
153,153,125,"p002",7
154,154,125,"p063",7
155,155,125,"p022",7
156,156,302,"p017",7
157,157,302,"p058",7
158,158,302,"p005",6
159,159,302,"p019",6
160,160,302,"p020",6
161,161,375,"p022",7
162,162,375,"p002",7
163,163,375,"p058",7
164,164,375,"p024",7
165,165,375,"p035",7
166,166,228,"p055",7
167,167,228,"p002",6
168,168,228,"p005",7
169,169,228,"p063",7
170,170,228,"p041",4
171,171,400,"p029",6
172,172,400,"p030",7
173,173,400,"p041",7
174,174,400,"p024",7
175,175,400,"p007",6
176,176,283,"p024",5
177,177,283,"p062",7
178,178,283,"p041",6
179,179,283,"p022",7
180,180,283,"p019",6
181,181,305,"p029",7
182,182,305,"p030",5
183,183,305,"p005",6
184,184,305,"p041",4
185,185,305,"p030",7
186,186,299,"p029",5
187,187,299,"p062",5
188,188,299,"p055",6
189,189,299,"p065",7
190,190,299,"p022",7
191,191,313,"p055",7
192,192,313,"p035",7
193,193,313,"p024",7
194,194,313,"p029",6
195,195,313,"p024",1
196,196,398,"p029",7
197,197,398,"p035",6
198,198,398,"p027",3
199,199,398,"p044",7
200,200,398,"p068",6
201,201,31,"p060",7
202,202,31,"p062",7
203,203,31,"p024",6
204,204,31,"p042",7
205,205,31,"p027",7
206,206,201,"p009",7
207,207,201,"p062",2
208,208,201,"p027",7
209,209,201,"p065",7
210,210,201,"p007",7
211,211,273,"p063",6
212,212,273,"p024",7
213,213,273,"p018",1
214,214,273,"p039",7
215,215,273,"p019",6
216,216,247,"p027",7
217,217,247,"p035",7
218,218,247,"p017",7
219,219,247,"p009",7
220,220,247,"p044",7
221,221,417,"p027",1
222,222,417,"p029",7
223,223,417,"p035",7
224,224,417,"p051",6
225,225,417,"p029",3
226,226,139,"p062",6
227,227,139,"p028",7
228,228,139,"p035",5
229,229,139,"p073",7
230,230,139,"p019",7
231,231,128,"p035",6
232,232,128,"p029",6
233,233,128,"p073",4
234,234,128,"p029",7
235,235,128,"p024",7
236,236,245,"p062",6
237,237,245,"p030",7
238,238,245,"p029",6
239,239,245,"p024",7
240,240,245,"p029",7
241,241,19,"p003",5
242,242,19,"p024",7
243,243,19,"p062",5
244,244,19,"p073",7
245,245,19,"p022",7
246,246,177,"p009",7
247,247,177,"p024",3
248,248,177,"p062",1
249,249,177,"p024",7
250,250,177,"p029",4
251,251,413,"p029",5
252,252,413,"p028",4
253,253,413,"p073",7
254,254,413,"p030",6
255,255,413,"p062",5
256,256,174,"p024",7
257,257,174,"p029",1
258,258,174,"p035",6
259,259,174,"p028",5
260,260,174,"p009",7
261,261,34,"p029",5
262,262,34,"p009",7
263,263,34,"p035",7
264,264,34,"p022",7
265,265,34,"p073",7
266,266,47,"p058",5
267,267,47,"p009",7
268,268,47,"p062",6
269,269,47,"p030",6
270,270,47,"p022",7
271,271,146,"p030",7
272,272,146,"p029",7
273,273,146,"p024",7
274,274,146,"p009",7
275,275,146,"p022",7
276,276,370,"p073",7
277,277,370,"p062",6
278,278,370,"p048",7
279,279,370,"p030",7
280,280,370,"p024",7
281,281,202,"p009",7
282,282,202,"p016",7
283,283,202,"p030",7
284,284,202,"p022",7
285,285,202,"p068",5
286,286,71,"p028",7
287,287,71,"p064",7
288,288,71,"p035",6
289,289,71,"p063",5
290,290,71,"p068",6
291,291,242,"p029",7
292,292,242,"p028",7
293,293,242,"p035",7
294,294,242,"p063",6
295,295,242,"p029",6
296,296,339,"p062",1
297,297,339,"p029",6
298,298,339,"p019",5
299,299,339,"p022",7
300,300,339,"p024",7
301,301,347,"p024",7
302,302,347,"p052",7
303,303,347,"p022",7
304,304,347,"p039",1
305,305,347,"p029",6
306,306,48,"p024",7
307,307,48,"p068",6
308,308,48,"p047",7
309,309,48,"p009",7
310,310,48,"p010",7
311,311,291,"p029",6
312,312,291,"p012",7
313,313,291,"p010",7
314,314,291,"p024",7
315,315,291,"p068",7
316,316,39,"p029",4
317,317,39,"p073",7
318,318,39,"p022",5
319,319,39,"p058",3
320,320,39,"p022",7
321,321,52,"p024",7
322,322,52,"p029",1
323,323,52,"p058",7
324,324,52,"p062",7
325,325,52,"p031",7
326,326,89,"p029",4
327,327,89,"p030",6
328,328,89,"p036",5
329,329,89,"p058",7
330,330,89,"p068",7
331,331,148,"p009",7
332,332,148,"p064",5
333,333,148,"p068",7
334,334,148,"p008",7
335,335,148,"p029",7
336,336,223,"p039",7
337,337,223,"p016",6
338,338,223,"p008",3
339,339,223,"p068",7
340,340,223,"p024",7
341,341,186,"p010",7
342,342,186,"p039",5
343,343,186,"p063",6
344,344,186,"p068",7
345,345,186,"p068",7
346,346,113,"p035",5
347,347,113,"p068",7
348,348,113,"p030",7
349,349,113,"p068",7
350,350,113,"p035",7
351,351,116,"p039",5
352,352,116,"p036",6
353,353,116,"p068",7
354,354,116,"p039",7
355,355,116,"p035",6
356,356,44,"p024",7
357,357,44,"p030",6
358,358,44,"p040",3
359,359,44,"p039",1
360,360,44,"p067",7
361,361,163,"p045",7
362,362,163,"p024",7
363,363,163,"p024",7
364,364,163,"p039",1
365,365,163,"p035",6
366,366,80,"p016",7
367,367,80,"p022",7
368,368,80,"p030",6
369,369,80,"p039",5
370,370,80,"p022",7
371,371,367,"p024",1
372,372,367,"p035",6
373,373,367,"p028",7
374,374,367,"p029",6
375,375,367,"p030",6
376,376,91,"p019",6
377,377,91,"p030",6
378,378,91,"p025",7
379,379,91,"p068",7
380,380,91,"p022",7
381,381,23,"p019",6
382,382,23,"p035",7
383,383,23,"p062",6
384,384,23,"p068",6
385,385,23,"p029",7
386,386,66,"p008",6
387,387,66,"p019",7
388,388,66,"p039",5
389,389,66,"p024",7
390,390,66,"p022",7
391,391,270,"p019",6
392,392,270,"p022",5
393,393,270,"p016",7
394,394,270,"p010",5
395,395,270,"p068",6
396,396,368,"p019",5
397,397,368,"p068",7
398,398,368,"p029",6
399,399,368,"p010",7
400,400,368,"p022",7
401,401,92,"p029",7
402,402,92,"p030",7
403,403,92,"p048",7
404,404,92,"p019",7
405,405,92,"p029",7
406,406,331,"p019",7
407,407,331,"p068",6
408,408,331,"p030",7
409,409,331,"p019",6
410,410,331,"p010",1
411,411,112,"p035",7
412,412,112,"p068",7
413,413,112,"p030",5
414,414,112,"p062",7
415,415,112,"p031",7
416,416,301,"p039",7
417,417,301,"p022",7
418,418,301,"p073",7
419,419,301,"p022",7
420,420,301,"p029",7
421,421,133,"p039",6
422,422,133,"p022",7
423,423,133,"p016",5
424,424,133,"p024",7
425,425,133,"p019",7
426,426,397,"p039",1
427,427,397,"p068",7
428,428,397,"p029",6
429,429,397,"p035",5
430,430,397,"p022",7
431,431,13,"p019",6
432,432,13,"p073",7
433,433,13,"p035",7
434,434,13,"p039",1
435,435,13,"p024",7
436,436,308,"p022",7
437,437,308,"p054",6
438,438,308,"p030",4
439,439,308,"p039",7
440,440,308,"p039",7
441,441,7,"p039",5
442,442,7,"p016",6
443,443,7,"p020",7
444,444,7,"p039",7
445,445,7,"p030",6
446,446,11,"p022",7
447,447,11,"p029",1
448,448,11,"p062",2
449,449,11,"p019",6
450,450,11,"p029",7
451,451,182,"p039",7
452,452,182,"p030",5
453,453,182,"p022",5
454,454,182,"p024",7
455,455,182,"p068",6
456,456,371,"p068",5
457,457,371,"p016",7
458,458,371,"p062",6
459,459,371,"p024",7
460,460,371,"p068",7
461,461,18,"p022",7
462,462,18,"p030",6
463,463,18,"p029",4
464,464,18,"p035",7
465,465,18,"p062",4
466,466,326,"p029",7
467,467,326,"p062",1
468,468,326,"p024",7
469,469,326,"p054",7
470,470,326,"p062",3
471,471,297,"p019",7
472,472,297,"p068",7
473,473,297,"p024",7
474,474,297,"p035",7
475,475,297,"p054",6
476,476,53,"p011",7
477,477,53,"p022",7
478,478,53,"p010",7
479,479,53,"p024",5
480,480,53,"p054",7
481,481,292,"p053",5
